results.date,b.1.617.2,ay.103,ay.119,ay.25,ay.3,ay.39,ay.44,other
2021-05-17,0.8198222955024275,0.050380141064394986,0.04122011541632317,0.19694055143354405,0.01832005129614363,0.050380141064394986,0.7831821929101401,98.03975451131264
2021-05-18,0.8117584898410105,0.06244296075700081,0.043229742062539024,0.19693549161823332,0.024016523368077237,0.048033046736154474,0.8405783178827033,97.97300542773428
2021-05-19,0.8380168606985147,0.08530710558008832,0.05018065034122842,0.19068647129666805,0.06523484544359695,0.05018065034122842,0.9634684865515858,97.75692492974709
2021-05-20,0.8608545938331509,0.09912871080502948,0.05217300568685762,0.25043042729691656,0.11999791307977253,0.0417384045494861,1.0173736108937237,97.55830333385506
2021-05-21,0.8504492939666239,0.1283697047496791,0.06418485237483955,0.2781343602909713,0.14441591784338897,0.03744116388532307,1.0430038510911426,97.45400085579803
2021-05-22,0.9250158987107592,0.12718968607272937,0.08672024050413366,0.30641151644793896,0.1560964329074406,0.04625079493553796,1.086893680985142,97.26542174943631
2021-05-23,0.915740024974728,0.13676636736635547,0.10108818457513229,0.3865136469049177,0.16649818635904143,0.05946363798537194,1.076291847535232,97.15763810429922
2021-05-24,0.9539052496798974,0.16645326504481434,0.12804097311139565,0.4033290653008963,0.21126760563380279,0.08962868117797694,1.1843790012804096,96.86299615877081
2021-05-25,1.028400190696724,0.2111285159708506,0.1294013484982633,0.5516583804399645,0.2588026969965266,0.1157801539194987,1.396172444323367,96.3086562691548
2021-05-26,1.0523260033384136,0.22498004209304012,0.12337615211553814,0.711227229842514,0.23223746280571886,0.12337615211553814,1.5603454532259236,95.97213150446332
2021-05-27,1.0914364219203176,0.2518699435200733,0.1297511830254923,0.8014043657456877,0.21370783086551676,0.16791329568004884,1.908105632727828,95.43581132651504
2021-05-28,1.0502685801330873,0.2806061091958631,0.13629439589513348,0.9460434538603383,0.2645714743846709,0.23250220476228656,2.2769181431892886,94.81279563857933
2021-05-29,1.0807215894920608,0.32421647684761823,0.11638540194529884,1.0142156455233187,0.2909635048632471,0.23277080389059768,2.5022861418239253,94.43844043561393
2021-05-30,1.161903146467645,0.3392417945890934,0.12721567297091002,0.9922822491730982,0.32227970485963875,0.25443134594182004,2.6206428632007466,94.18200322279705
2021-05-31,1.1321909424724603,0.43859649122807026,0.13259893920848637,1.1321909424724603,0.397796817625459,0.2549979600163199,2.8355773153814776,93.67605059159527
2021-06-01,1.1965811965811965,0.4625439919557566,0.1910507792860734,1.3071895424836601,0.4524886877828055,0.27149321266968324,3.3081950729009555,92.81045751633987
2021-06-02,1.3086596462529396,0.5418668847766078,0.224925876699724,1.3700030671710461,0.674777630099172,0.2760453941314795,3.7521725794908507,91.8515489213782
2021-06-03,1.4255765199161428,0.5974842767295598,0.19916142557651995,1.5408805031446542,0.9643605870020965,0.3039832285115305,4.329140461215934,90.63941299790356
2021-06-04,1.6611998730293092,0.6771770183049414,0.253941381864353,1.629457200296265,1.1638980002116182,0.27510316368638243,4.549783091736325,89.78944027087083
2021-06-05,1.6875856977112123,0.70667651091657,0.2953274970994621,1.698133108321907,1.3184263263368845,0.27423267587807193,4.79907182786626,89.22054635586963
2021-06-06,1.5546744574290485,0.8868948247078465,0.31302170283806346,1.8050918196994996,1.450333889816361,0.2608514190317196,5.102253756260435,88.62687813021704
2021-06-07,1.5627855967830377,0.9687442880643392,0.2741729117163224,1.9374885761286784,1.5262292085541949,0.2741729117163224,5.6571010784134534,87.79930542862365
2021-06-08,1.6226195102992618,1.2339681305868635,0.2914885347842985,2.0404197434900895,1.8169452001554607,0.3595025262339681,6.471045472211426,86.16401088223864
2021-06-09,1.6501976284584978,1.383399209486166,0.33596837944664026,2.3418972332015806,1.9664031620553357,0.3952569169960474,7.055335968379446,84.87154150197628
2021-06-10,1.7509150262142645,1.6124245721634185,0.37590266099515285,2.3939064200217626,1.909189830843803,0.36601048570580674,7.250964487090711,84.34068651696508
2021-06-11,1.6962447298754777,1.8040984410236296,0.4020001960976565,2.617903716050593,2.010000980488283,0.3823904304343562,7.618393960192174,83.46896754583781
2021-06-12,1.818889213111565,1.9064293356677364,0.4377006127808579,2.742923840093376,2.032876179359984,0.4182472522128198,7.684077424375061,82.95885614239859
2021-06-13,1.9177294083804777,1.9464953495061845,0.48902099913702174,2.8574168184869113,2.0711477610509155,0.44107776392750986,7.776392750982837,82.50071914852813
2021-06-14,2.200929703064226,2.3432311924864813,0.493311829997154,3.1211460013281473,2.1629826392182903,0.6356133194194099,7.987856939569301,81.05492837491698
2021-06-15,2.329916123019571,2.4510717614165887,0.48462255358807077,3.2805219012115554,2.1155638397017706,0.689655172413793,7.884436160298228,80.76421248835041
2021-06-16,2.616524430272906,2.597767982744068,0.46891118822095096,3.3386476601331703,2.2976648222826594,0.7690143486823594,8.280971583981993,79.63049798368188
2021-06-17,2.650762094102054,2.9253053109911957,0.47335037394679547,3.5974628419956454,2.4992899744390797,0.8614976805831678,8.756981918015715,78.23534980592636
2021-06-18,2.8262518968133534,3.357359635811836,0.4457511380880121,3.793626707132018,2.570182094081942,0.9768588770864944,9.303869499241275,76.72610015174507
2021-06-19,2.811851292696735,3.595017927910927,0.3774297037176826,3.868654463106246,2.7835440649179093,1.0662389130024532,9.662200415172673,75.83506321947537
2021-06-20,2.9002098836099983,3.7492844876931883,0.28620492272467085,3.930547605418813,2.9765311963365773,1.1161991986262165,9.864529669910324,75.17649303568022
2021-06-21,3.0438842203548084,4.089635854341736,0.3081232492997199,4.4911297852474314,3.4173669467787113,1.1297852474323062,11.409897292250234,72.11017740429504
2021-06-22,3.2210155017172557,4.31634642160958,0.3248862897985705,4.947554070361088,3.8893530121600293,1.2531328320802004,12.596305578761719,69.45140629351157
2021-06-23,3.241534988713318,4.5598194130925505,0.30699774266365687,5.164785553047404,4.18961625282167,1.381489841986456,13.002257336343115,68.15349887133183
2021-06-24,3.391771650074884,4.5282353977623115,0.33477226676063787,5.321117082195402,4.14941414853317,1.4359968284732623,14.1573429653775,66.68134966082285
2021-06-25,3.5075533946865773,4.453898246223303,0.38201076575794407,5.591248480638999,4.184754297621115,1.4672686230248306,14.837645424552873,65.57562076749434
2021-06-26,3.5582611677955933,4.475692360456144,0.4029837949069708,5.77895910143188,4.175598045099889,1.4833233301894884,15.279087713281319,64.84609448683872
2021-06-27,3.6024016010673785,4.402935290193462,0.46697798532354906,5.90393595730487,4.169446297531688,1.5593729152768514,15.618745830553701,64.2761841227485
2021-06-28,3.607630297709314,4.5973341846915154,0.5028334264506346,5.994093702609945,4.621278633570117,1.556389177109107,16.050762231622635,63.069678346236735
2021-06-29,3.6878018860691557,5.190523652533926,0.4983516062255617,6.3252319251705895,4.745840680824964,1.648393774438396,16.41493521429119,61.48892126044622
2021-06-30,3.608899471686882,5.78912121437607,0.5655182677282536,6.711808914353748,5.052459260361634,1.71143686286182,17.106927598779674,59.45382840985193
2021-07-01,3.691802342187947,6.2053698943159095,0.5641245358469009,7.162239360182805,5.277063696086833,1.7066552413596119,17.43787489288775,57.954870037132245
2021-07-02,3.829434899606707,6.520389153384393,0.6071896777754777,7.444973435451596,5.4647070999793,1.7042710273925343,17.64989995170082,56.77913475470917
2021-07-03,3.8600806176128986,6.859329097492655,0.6900321104051377,7.672337227573955,5.629568900731024,1.7489922798387645,17.530914804946367,56.008744961399195
2021-07-04,3.8699580280287393,7.014298925802091,0.6829337696521306,7.818168883830119,5.776481468307605,1.7002205306964502,17.734936330653767,55.40300206302909
2021-07-05,3.922720928524205,7.6103724381106295,0.8300888856240357,8.220083743480497,6.0897671343568645,1.8070961580841844,17.373099243370305,54.14677146844927
